Natural Gas Total Consumption,Plant Fuel Consumption,Pipeline & Distribution Use,Residential Consumers,Commercial Consumers,Industrial Consumer,Vehicle Fuel Consumption,Electric Power Consumers
1834265,103977,49140,405477,257247,568218,2026,448180
2398863,107796,65072,716871,394952,614573,2094,497505
2733589,101995,77313,883643,477148,659829,2201,531460
2502723,96255,70698,818272,458833,617738,2059,438868
2277699,104226,63850,656262,380467,609930,2201,460763
1823885,100538,50623,388459,255171,557357,2130,469607
1577396,103871,43282,230229,179744,542602,2201,475467
1604909,101738,44156,144313,133735,513401,2130,665436
1710141,107037,47092,118416,127749,525607,2201,782039
1683740,105516,46361,111287,126688,528741,2201,762946
1460034,90069,40239,118100,129153,477778,2130,602565
1635045,101348,45052,218058,185477,537665,2201,545244
1868435,101561,51903,433370,275603,546277,2130,457591
2399414,105549,67386,771868,422761,553255,2201,476394
2729697,110186,81144,947740,517891,582995,2315,487426
2331767,100434,69119,756341,426622,523688,2091,453472
2170515,110456,63814,600328,358253,535671,2315,499678
1741243,105047,50684,390344,249120,492412,2241,451395
1504993,108587,43256,201447,166233,467679,2315,515476
1528410,105563,44075,141121,133503,459110,2241,642797
1659049,107672,48056,118624,128095,476270,2315,778017
1737334,108525,50455,111479,128831,495412,2315,840317
1574900,102145,45621,119681,131405,483796,2241,690011
1666078,106913,48298,251028,198631,521880,2315,537013
1775167,103532,51782,376488,251343,532696,2241,457085
2490925,106179,73871,764286,428665,595763,2315,519846
2809788,105622,79950,932605,499107,644259,2434,545811
2480950,97743,70460,794779,440859,595295,2199,479615
2142926,108557,60147,579243,337183,598498,2434,456864
1691813,104763,46922,313171,215375,537745,2356,471481
1617274,107550,44635,197513,161154,544323,2434,559665
1649514,102824,45728,134038,129712,529191,2356,705665
1825828,106759,50825,111307,120183,537138,2434,897182
1878925,108019,52357,107074,126673,539366,2434,943002
1637491,107186,45244,117299,132944,535739,2356,696723
1664938,112815,45889,201580,185337,546520,2434,570363
1973294,109026,55118,446801,286696,576758,2356,496539
2714053,114763,76849,847001,467371,641361,2434,564274
2888640,106975,82626,969775,527999,658927,2546,539792
2452403,96973,69965,767994,431732,599754,2299,483686
2230495,111445,62944,594929,360938,615767,2546,481926
1825024,108766,50979,340552,232006,568804,2464,521453
1667396,111897,46204,205399,166250,563102,2546,571998
1657335,107452,46037,132672,133856,535440,2464,699414
1890517,109606,52900,114187,130147,542556,2546,938575
1891783,110980,52896,112280,137962,553670,2546,921449
1655635,109465,45927,122751,141634,549196,2464,684198
1744454,116320,48362,225506,206142,570646,2546,574932
2031873,114768,56945,434502,286449,594199,2464,542546
2541878,117941,72000,693232,400205,642060,2546,613894
2756181,118883,79832,794368,445861,665876,2538,648823
2500654,109038,72395,662056,387045,623215,2375,644530
2127760,117005,60866,403150,261564,608538,2538,674099
1953072,112909,55702,279211,208940,579515,2457,714338
1873835,117153,53175,163083,149137,576282,2538,812467
1868356,112654,53145,123336,131071,565812,2457,879881
2069774,119418,59038,107517,124496,575079,2538,1081688
2008814,118830,57210,105604,133475,587219,2538,1003938
1807209,115658,51204,118611,141657,575034,2457,802588
1901084,119771,53921,240105,212768,602786,2538,669195
2167840,116074,62107,482134,308076,617247,2457,579745
2503907,118880,72195,670344,390835,649613,2538,599502
2878784,123951,93018,872291,478984,676303,2552,631685
2567154,112282,82890,750082,429014,622193,2305,568388
2521107,123977,80940,662262,393457,654009,2552,603910
1967458,121527,62329,366420,249295,600591,2469,564827
1752470,125149,54947,193222,168850,592942,2552,614808
1742916,120934,54767,127659,136047,563890,2469,737150
1926330,127432,60741,111509,135057,577915,2552,911124
1927378,127158,60785,107731,137019,591603,2552,900530
1766972,122736,55518,117803,141926,575038,2469,751482
1866762,127212,58737,222668,206671,611884,2552,637038
2316908,124369,74032,517529,345132,652358,2469,601019
2920826,126358,94357,848195,473848,706724,2552,668792
3204130,120915,86069,1037197,571744,722327,2997,662881
2741240,111800,73402,852927,490105,659190,2707,551109
2557891,124673,67924,699921,420934,680634,2997,560808
1961677,123603,51310,356142,251038,627785,2900,548899
1810223,127034,46987,203456,176753,606067,2997,646929
1745350,123570,45272,125596,141451,585811,2900,720750
1881019,130405,48869,112785,137609,605051,2997,843303
1933062,131115,50302,105187,137122,608533,2997,897806
1809291,126840,46966,121736,148913,590989,2900,770947
1912812,132368,49702,212079,202359,609917,2997,703390
2357521,127279,62258,543538,361530,659624,2900,600392
2679167,132541,71090,716907,426751,690112,2997,638769
3114981,132608,78800,937954,532631,718319,3345,711324
2925171,120370,74108,902364,517341,659623,3022,648343
2591328,133856,64931,633081,385772,661612,3345,708731
2007922,131408,49581,319285,232201,607933,3238,664276
1858149,133834,45560,177570,160511,602843,3345,734486
1899907,129215,46785,124066,135446,574682,3238,886475
2067714,133945,51094,108160,133728,591900,3345,1045542
