,Date,Spot_price
248,Sep-2017,2.98
249,Oct-2017,2.88
250,Nov-2017,3.01
251,Dec-2017,2.82
252,Jan-2018,3.87
253,Feb-2018,2.67
254,Mar-2018,2.69
255,Apr-2018,2.8
256,May-2018,2.8
257,Jun-2018,2.97
258,Jul-2018,2.83
259,Aug-2018,2.96
260,Sep-2018,3.0
261,Oct-2018,3.28
262,Nov-2018,4.09
263,Dec-2018,4.04
264,Jan-2019,3.11
265,Feb-2019,2.69
266,Mar-2019,2.95
267,Apr-2019,2.65
268,May-2019,2.64
269,Jun-2019,2.4
270,Jul-2019,2.37
271,Aug-2019,2.22
272,Sep-2019,2.56
273,Oct-2019,2.33
274,Nov-2019,2.65
275,Dec-2019,2.22
276,Jan-2020,2.02
277,Feb-2020,1.91
278,Mar-2020,1.79
279,Apr-2020,1.74
280,May-2020,1.75
281,Jun-2020,1.63
282,Jul-2020,1.77
283,Aug-2020,2.3
284,Sep-2020,1.92
285,Oct-2020,2.39
286,Nov-2020,2.61
287,Dec-2020,2.59
288,Jan-2021,2.71
289,Feb-2021,5.35
290,Mar-2021,2.62
291,Apr-2021,2.66
292,May-2021,2.91
293,Jun-2021,3.26
294,Jul-2021,3.84
295,Aug-2021,4.07
296,Sep-2021,5.16
297,Oct-2021,5.51
298,Nov-2021,5.05
299,Dec-2021,3.76
300,Jan-2022,4.38
301,Feb-2022,4.69
302,Mar-2022,4.9
303,Apr-2022,6.6
304,May-2022,8.14
305,Jun-2022,7.7
306,,
