,Date,lower Spot_price,upper Spot_price,Mean
0,2022-07-01,6.180371522107172,9.949934981668507,8.065153251887839
1,2022-08-01,5.7916949570883425,11.09837168244264,8.445033319765491
2,2022-09-01,5.555779517591068,12.045245279935335,8.800512398763201
3,2022-10-01,5.4666280535973595,12.954318542113656,9.210473297855508
4,2022-11-01,4.906418203942889,13.274085253079122,9.090251728511005
5,2022-12-01,3.853075294777579,13.01660053556806,8.43483791517282
6,2023-01-01,3.8572099673754474,13.752791700244348,8.805000833809897
7,2023-02-01,4.990695499445469,15.567787766476755,10.279241632961112
8,2023-03-01,3.4115628658349264,14.628836323259335,9.020199594547131
9,2023-04-01,3.979320037281502,15.80216093156296,9.890740484422231
10,2023-05-01,4.586727174950552,16.985594454061236,10.786160814505894
11,2023-06-01,4.266255675222182,17.21555113089644,10.740903403059312
12,2023-07-01,4.155025052885478,18.27179499496345,11.213410023924464
13,2023-08-01,3.9241781592974423,19.11261962945467,11.518398894376055
14,2023-09-01,4.146222301567004,20.335575897593397,12.2408990995802
15,2023-10-01,4.054955156776073,21.186843016468465,12.62089908662227
16,2023-11-01,3.318296817590941,21.343501211264417,12.330899014427679
17,2023-12-01,1.92025280594091,20.796544953242822,11.358398879591867
18,2024-01-01,2.008085110522048,21.69871275483161,11.853398932676829
19,2024-02-01,2.509600174322495,22.982197196279294,12.745898685300894
20,2024-03-01,1.6080101280043468,22.833787866876627,12.220898997440486
21,2024-04-01,2.5293326292610505,24.482465718104088,13.505899173682568
22,2024-05-01,3.394824111029658,26.0519745102539,14.723399310641778
23,2024-06-01,2.810928404078661,26.150870049456415,14.480899226767537
24,2024-07-01,2.491702701492713,27.307825584253585,14.899764142873149
25,2024-08-01,2.141675710008599,28.342672709379688,15.242174209694143
26,2024-09-01,2.023136266867697,29.539430615049085,15.78128344095839
27,2024-10-01,1.7904915676404034,30.56201667564693,16.176254121643666
28,2024-11-01,0.9839696831251903,30.958206278293893,15.971087980709541
29,2024-12-01,-0.408230596683282,30.722285972843025,15.157027688079872
30,2025-01-01,-0.5330303260687792,31.71233002713377,15.589649850532496
31,2025-02-01,0.11136705187431772,33.43429409513222,16.77283057350327
32,2025-03-01,-1.3023127523560252,33.06441052980542,15.881048888724699
33,2025-04-01,-0.7309146070187005,34.64882354315351,16.958954468067404
34,2025-05-01,-0.16675244677874446,36.19779174116909,18.015519647195173
35,2025-06-01,-0.790110568254228,36.533263829294285,17.87157663052003
36,2025-07-01,-1.104815730107461,37.739305571184566,18.317244920538553
37,2025-08-01,-1.5099386276260702,38.791851792417006,18.640956582395468
38,2025-09-01,-1.5825840457881917,40.12598713581741,19.271701545014608
39,2025-10-01,-1.875521498084595,41.19390501186118,19.659191756888294
40,2025-11-01,-2.7826540196581178,41.60592660441983,19.411636292380855
41,2025-12-01,-4.316415919680072,41.3532313281889,18.518407704254415
42,2026-01-01,-4.475674763109204,42.44007173707192,18.982198486981357
43,2026-02-01,-4.044663773435428,44.084930652383036,20.020133439473803
44,2026-03-01,-5.345163093288978,43.96840957710543,19.31162324190823
45,2026-04-01,-4.741883074297014,45.72790035542036,20.493008640561673
46,2026-05-01,-4.170057793871155,47.43003551386553,21.62998885999719
47,2026-06-01,-4.916284927938783,47.78988377451603,21.436799423288623
48,2026-07-01,-5.314136253274359,49.05228577305233,21.86907475988899
49,2026-08-01,-5.783780870864582,50.188039934045854,22.202129531590636
