,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2012-08-27,2.30528232,2.309528292742361,3.3769046476578857,2.30528232,2.30528232,0.5257493397468904,0.5257493397468904,0.5257493397468904,0.0018360270012853874,0.0018360270012853874,0.0018360270012853874,0.523913312745605,0.523913312745605,0.523913312745605,0.0,0.0,0.0,2.8310316597468903
1,2012-08-28,2.3176203806193474,2.3382833223794743,3.42950688465066,2.3176203806193474,2.3176203806193474,0.5318366384597714,0.5318366384597714,0.5318366384597714,0.007201358599859748,0.007201358599859748,0.007201358599859748,0.5246352798599117,0.5246352798599117,0.5246352798599117,0.0,0.0,0.0,2.849457019079119
2,2012-08-29,2.3299584412386953,2.3495519465858705,3.384613030941862,2.3299584412386953,2.3299584412386953,0.5431628637590327,0.5431628637590327,0.5431628637590327,0.01869300630592789,0.01869300630592789,0.01869300630592789,0.5244698574531048,0.5244698574531048,0.5244698574531048,0.0,0.0,0.0,2.8731213049977278
3,2012-08-30,2.3422965018580433,2.3794736735128343,3.4027643883750422,2.3422965018580433,2.3422965018580433,0.5346041396707886,0.5346041396707886,0.5346041396707886,0.01115428336001884,0.01115428336001884,0.01115428336001884,0.5234498563107697,0.5234498563107697,0.5234498563107697,0.0,0.0,0.0,2.876900641528832
4,2012-08-31,2.354634562477391,2.3151766902123914,3.41809456440098,2.354634562477391,2.354634562477391,0.523623016639326,0.523623016639326,0.523623016639326,0.0019939298715580633,0.0019939298715580633,0.0019939298715580633,0.521629086767768,0.521629086767768,0.521629086767768,0.0,0.0,0.0,2.878257579116717
5,2012-09-03,2.391648744335434,2.3795500952279562,3.412923856184514,2.391648744335434,2.391648744335434,0.5140201612188141,0.5140201612188141,0.5140201612188141,0.0018360270013030508,0.0018360270013030508,0.0018360270013030508,0.5121841342175111,0.5121841342175111,0.5121841342175111,0.0,0.0,0.0,2.9056689055542484
6,2012-09-04,2.403986804954782,2.3966001151650307,3.4279308098048187,2.403986804954782,2.403986804954782,0.5152629206448747,0.5152629206448747,0.5152629206448747,0.007201358599837134,0.007201358599837134,0.007201358599837134,0.5080615620450376,0.5080615620450376,0.5080615620450376,0.0,0.0,0.0,2.9192497255996566
7,2012-09-05,2.4163248655741296,2.4044380409956134,3.483075184868704,2.4163248655741296,2.4163248655741296,0.5223514079290461,0.5223514079290461,0.5223514079290461,0.018693006305920246,0.018693006305920246,0.018693006305920246,0.5036584016231259,0.5036584016231259,0.5036584016231259,0.0,0.0,0.0,2.9386762735031757
8,2012-09-06,2.4286629261934776,2.3949369164061833,3.4338556554152864,2.4286629261934776,2.4286629261934776,0.5102639549496237,0.5102639549496237,0.5102639549496237,0.011154283360002619,0.011154283360002619,0.011154283360002619,0.49910967158962116,0.49910967158962116,0.49910967158962116,0.0,0.0,0.0,2.938926881143101
9,2012-09-07,2.4410009868128255,2.378235217640538,3.454520932404758,2.4410009868128255,2.4410009868128255,0.49654671434908554,0.49654671434908554,0.49654671434908554,0.0019939298715123776,0.0019939298715123776,0.0019939298715123776,0.4945527844775732,0.4945527844775732,0.4945527844775732,0.0,0.0,0.0,2.937547701161911
10,2012-09-10,2.4780151686708685,2.434360405127298,3.4975949724032978,2.4780151686708685,2.4780151686708685,0.4840012934461965,0.4840012934461965,0.4840012934461965,0.001836027001284676,0.001836027001284676,0.001836027001284676,0.48216526644491187,0.48216526644491187,0.48216526644491187,0.0,0.0,0.0,2.962016462117065
11,2012-09-11,2.490353229290217,2.4754391844706625,3.5016218523492793,2.490353229290217,2.490353229290217,0.48606991200990246,0.48606991200990246,0.48606991200990246,0.0072013585998488795,0.0072013585998488795,0.0072013585998488795,0.4788685534100536,0.4788685534100536,0.4788685534100536,0.0,0.0,0.0,2.976423141300119
12,2012-09-12,2.5026912899095644,2.502669181037307,3.539028560578577,2.5026912899095644,2.5026912899095644,0.49485212021121927,0.49485212021121927,0.49485212021121927,0.018693006305924846,0.018693006305924846,0.018693006305924846,0.4761591139052944,0.4761591139052944,0.4761591139052944,0.0,0.0,0.0,2.997543410120784
13,2012-09-13,2.515029350528912,2.462090531212457,3.5804046985048656,2.515029350528912,2.515029350528912,0.4852689456313292,0.4852689456313292,0.4852689456313292,0.011154283360001679,0.011154283360001679,0.011154283360001679,0.47411466227132754,0.47411466227132754,0.47411466227132754,0.0,0.0,0.0,3.000298296160241
14,2012-09-14,2.52736741114826,2.4765832668653944,3.5369419232149863,2.52736741114826,2.52736741114826,0.47478694985825515,0.47478694985825515,0.47478694985825515,0.001993929871559041,0.001993929871559041,0.001993929871559041,0.4727930199866961,0.4727930199866961,0.4727930199866961,0.0,0.0,0.0,3.002154361006515
15,2012-09-17,2.564381593006303,2.488586784121721,3.5371219750348635,2.564381593006303,2.564381593006303,0.4752498032425643,0.4752498032425643,0.4752498032425643,0.0018360270012822359,0.0018360270012822359,0.0018360270012822359,0.47341377624128206,0.47341377624128206,0.47341377624128206,0.0,0.0,0.0,3.0396313962488675
16,2012-09-18,2.5767196536256507,2.5380356243248294,3.5652023253809326,2.5767196536256507,2.5767196536256507,0.48231890718629555,0.48231890718629555,0.48231890718629555,0.007201358599841982,0.007201358599841982,0.007201358599841982,0.47511754858645355,0.47511754858645355,0.47511754858645355,0.0,0.0,0.0,3.0590385608119464
