,Date,NG,outliers,scores,anomaly_score
0,1997-01-07,3.734,no,0.33298874648740845,1
1,1997-01-08,3.7819999999999996,no,0.33934463063739845,1
2,1997-01-09,3.829999999999999,no,0.3417401784904419,1
3,1997-01-10,3.8679999999999994,no,0.33644268503402963,1
4,1997-01-11,3.8679999999999994,no,0.33644268503402963,1
5,1997-01-12,3.8679999999999994,no,0.33644268503402963,1
6,1997-01-13,3.975999999999999,no,0.3264808970265099,1
7,1997-01-14,4.195999999999999,no,0.3203705355766421,1
8,1997-01-15,4.193999999999999,no,0.3184892777140503,1
9,1997-01-16,4.045999999999999,no,0.324501109480562,1
10,1997-01-17,3.8419999999999996,no,0.3397620997642973,1
11,1997-01-18,3.8419999999999996,no,0.3397620997642973,1
12,1997-01-19,3.8419999999999996,no,0.3397620997642973,1
13,1997-01-20,3.5839999999999996,no,0.3363976082218858,1
14,1997-01-21,3.233999999999999,no,0.34967437346239555,1
15,1997-01-22,2.975999999999999,no,0.3727138218889468,1
16,1997-01-23,2.92,no,0.3736436555918372,1
17,1997-01-24,2.9319999999999995,no,0.37280601531256485,1
18,1997-01-25,2.9319999999999995,no,0.37280601531256485,1
19,1997-01-26,2.9319999999999995,no,0.37280601531256485,1
20,1997-01-27,2.903999999999999,no,0.37307067170162295,1
21,1997-01-28,2.8839999999999995,no,0.36276631579788166,1
22,1997-01-29,2.9139999999999997,no,0.3726679843910075,1
23,1997-01-30,2.8159999999999994,no,0.3641735231229743,1
24,1997-01-31,2.7239999999999993,no,0.359835081983578,1
25,1997-02-01,2.7239999999999993,no,0.359835081983578,1
26,1997-02-02,2.7239999999999993,no,0.359835081983578,1
27,1997-02-03,2.6719999999999993,no,0.35998137544272696,1
28,1997-02-04,2.6019999999999994,no,0.3547574368450931,1
29,1997-02-05,2.526,no,0.33792844542220746,1
30,1997-02-06,2.5119999999999996,no,0.3286557054860733,1
31,1997-02-07,2.4619999999999997,no,0.33028136219065046,1
32,1997-02-08,2.4619999999999997,no,0.33028136219065046,1
33,1997-02-09,2.4619999999999997,no,0.33028136219065046,1
34,1997-02-10,2.4159999999999995,no,0.3335321943134111,1
35,1997-02-11,2.3579999999999997,no,0.3338821883603304,1
36,1997-02-12,2.3039999999999994,no,0.33372389128264873,1
37,1997-02-13,2.1879999999999997,no,0.33283341359969953,1
38,1997-02-14,2.11,no,0.3141245855299742,1
39,1997-02-15,2.11,no,0.3141245855299742,1
40,1997-02-16,2.11,no,0.3141245855299742,1
41,1997-02-17,2.11,no,0.3141245855299742,1
42,1997-02-18,2.01,no,0.29183081624401985,1
43,1997-02-19,1.9499999999999995,no,0.28892044052282345,1
44,1997-02-20,1.9099999999999995,no,0.27177862544687736,1
45,1997-02-21,1.8959999999999995,no,0.2676192751031796,1
46,1997-02-22,1.8959999999999995,no,0.2676192751031796,1
47,1997-02-23,1.8959999999999995,no,0.2676192751031796,1
48,1997-02-24,1.8679999999999999,no,0.26734418614723654,1
49,1997-02-25,1.8439999999999999,no,0.2605337180018461,1
50,1997-02-26,1.8159999999999998,no,0.25597663730767517,1
51,1997-02-27,1.7919999999999998,no,0.25351096533588147,1
52,1997-02-28,1.8119999999999998,no,0.25358132213723217,1
53,1997-03-01,1.8119999999999998,no,0.25358132213723217,1
54,1997-03-02,1.8119999999999998,no,0.25358132213723217,1
55,1997-03-03,1.8339999999999996,no,0.2543071986584281,1
56,1997-03-04,1.8379999999999996,no,0.2608210970386191,1
57,1997-03-05,1.8599999999999999,no,0.26558127136326737,1
58,1997-03-06,1.8899999999999997,no,0.26806428040442576,1
59,1997-03-07,1.8999999999999995,no,0.2663607369126425,1
60,1997-03-08,1.8999999999999995,no,0.2663607369126425,1
61,1997-03-09,1.8999999999999995,no,0.2663607369126425,1
62,1997-03-10,1.9079999999999997,no,0.26730367643000685,1
63,1997-03-11,1.9399999999999995,no,0.28633330773821375,1
64,1997-03-12,1.9559999999999995,no,0.29055668263141,1
65,1997-03-13,1.9679999999999995,no,0.2950954351278384,1
66,1997-03-14,1.9659999999999995,no,0.2925745375849838,1
67,1997-03-15,1.9659999999999995,no,0.2925745375849838,1
68,1997-03-16,1.9659999999999995,no,0.2925745375849838,1
69,1997-03-17,1.9499999999999995,no,0.28892044052282345,1
70,1997-03-18,1.9299999999999995,no,0.2862176389664375,1
71,1997-03-19,1.9099999999999995,no,0.27177862544687736,1
72,1997-03-20,1.8679999999999997,no,0.26734418614723654,1
73,1997-03-21,1.8559999999999997,no,0.26480126478459,1
74,1997-03-22,1.8559999999999997,no,0.26480126478459,1
75,1997-03-23,1.8559999999999997,no,0.26480126478459,1
76,1997-03-24,1.8499999999999996,no,0.2626806614383038,1
77,1997-03-25,1.8419999999999996,no,0.2608857588758513,1
78,1997-03-26,1.8359999999999999,no,0.25815807798728374,1
79,1997-03-27,1.8659999999999997,no,0.26657547567522377,1
80,1997-03-28,1.8659999999999997,no,0.26657547567522377,1
81,1997-03-29,1.8659999999999997,no,0.26657547567522377,1
82,1997-03-30,1.8659999999999997,no,0.26657547567522377,1
83,1997-03-31,1.8659999999999997,no,0.26657547567522377,1
84,1997-04-01,1.8699999999999997,no,0.269251520916715,1
85,1997-04-02,1.8839999999999995,no,0.2638079706744523,1
86,1997-04-03,1.9139999999999997,no,0.2757961629808432,1
87,1997-04-04,1.9259999999999997,no,0.28497628011073634,1
88,1997-04-05,1.9259999999999997,no,0.28497628011073634,1
89,1997-04-06,1.9259999999999997,no,0.28497628011073634,1
90,1997-04-07,1.9479999999999995,no,0.2883153338679139,1
